ENSG00000231630	0	0	0
ENSG00000284745	1	0	1
ENSG00000169717	0	0	0
ENSG00000177133	2	0	2
ENSG00000142611	22	0	22
ENSG00000283572	0	0	0
ENSG00000226286	0	0	0
ENSG00000279839	0	0	0
ENSG00000272235	1	0	1
ENSG00000287828	2	0	2
ENSG00000286518	0	0	0
ENSG00000130762	293	0	293
ENSG00000272088	0	0	0
ENSG00000162591	772	1	771
ENSG00000207776	0	0	0
ENSG00000238260	0	0	0
ENSG00000158109	1751	0	1751
ENSG00000116213	849	3	846
ENSG00000078900	7	6	4
ENSG00000227589	0	0	0
ENSG00000235131	0	0	0
ENSG00000227372	821	4	878
ENSG00000276189	0	4	0
ENSG00000162592	1	55	0
ENSG00000235169	45	0	45
ENSG00000130764	2115	9	2385
ENSG00000266075	0	0	0
ENSG00000272153	5	284	0
ENSG00000116198	862	2	860
ENSG00000169598	228	0	228
ENSG00000198912	360	2	358
ENSG00000236423	1	0	1
ENSG00000233304	0	0	0
ENSG00000226374	0	0	0
ENSG00000284668	0	0	0
ENSG00000284703	0	0	0
ENSG00000229280	0	0	0
ENSG00000235054	0	0	0
ENSG00000284694	0	0	0
ENSG00000227169	0	0	0
ENSG00000232596	0	0	0
ENSG00000196581	0	0	0
ENSG00000287586	0	0	0
ENSG00000284739	0	0	0
ENSG00000284674	0	0	0
ENSG00000231510	0	0	0
ENSG00000284616	0	0	0
ENSG00000284692	0	0	0
ENSG00000284666	0	0	0
ENSG00000260972	0	0	0
ENSG00000283356	0	0	0
ENSG00000236948	0	0	0
ENSG00000264341	0	0	0
ENSG00000264101	0	0	0
ENSG00000131697	328	2	327
ENSG00000069424	178	2	177
ENSG00000116254	9	0	9
ENSG00000285629	0	0	0
ENSG00000116251	379	1	380
ENSG00000226944	1	0	1
ENSG00000158286	109	19	110
ENSG00000116237	2984	3	3019
ENSG00000225077	14	20	14
ENSG00000173673	0	0	0
ENSG00000158292	455	0	455
ENSG00000097021	6153	8	6153
ENSG00000271746	0	8	0
ENSG00000069812	14	0	14
ENSG00000187017	2	3	2
ENSG00000265392	0	0	0
ENSG00000231868	0	0	0
ENSG00000215788	40	0	43
ENSG00000171680	589	2	587
ENSG00000162408	382	1	381
ENSG00000253022	0	0	0
ENSG00000229519	0	0	0
ENSG00000173662	0	0	0
ENSG00000204859	972	4	968
ENSG00000162413	2532	0	2532
ENSG00000116273	853	2	851
ENSG00000041988	975	1298	1024
ENSG00000007923	2245	56	3536
ENSG00000228750	0	0	0
ENSG00000284744	0	0	0
ENSG00000237436	0	0	0
ENSG00000171735	336	0	336
ENSG00000227950	0	0	0
ENSG00000237365	0	0	0
ENSG00000207056	0	0	0
ENSG00000237402	2	0	2
ENSG00000237728	0	0	0
ENSG00000225126	0	0	0
ENSG00000270171	0	0	0
ENSG00000270035	1	0	1
ENSG00000269978	0	0	0
ENSG00000049245	2108	1	2107
ENSG00000269925	1	0	1
ENSG00000049246	14	0	15
ENSG00000236266	0	0	0
